ProcessID       ProcessName                    ProcessPath                                       
=============== ============================== ==================================================

1404            wininit.exe                    C:\Windows\system32\wininit.exe                   

1736            WtuSystemSupport.exe           C:\Program Files (x86)\AVG Web TuneUp\WtuSystemSupport.exe

1796            nvSCPAPISvr.exe                C:\Program Files (x86)\NVIDIA Corporation\3D Vision\nvSCPAPISvr.exe

1840            svchost.exe                    C:\Windows\system32\svchost.exe                   

1936            svchost.exe                    C:\Windows\System32\svchost.exe                   

1980            svchost.exe                    C:\Windows\System32\svchost.exe                   

2028            svchost.exe                    C:\Windows\system32\svchost.exe                   

1076            svchost.exe                    C:\Windows\system32\svchost.exe                   

2120            SbieSvc.exe                    C:\Program Files\Sandboxie\SbieSvc.exe            

2132            nvxdsync.exe                   C:\Program Files\NVIDIA Corporation\Display\nvxdsync.exe

2444            svchost.exe                    C:\Windows\system32\svchost.exe                   

2556            AvastSvc.exe                   C:\Program Files\AVAST Software\Avast\AvastSvc.exe

2788            svchost.exe                    C:\Windows\system32\svchost.exe                   

2920            armsvc.exe                     C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe

2956            AdobeUpdateService.exe         C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ElevationManager\AdobeUpdateService.exe

3016            AYRTSrv.aye                    C:\Program Files\ESTsoft\ALYac\AYRTSrv.aye        

3048            AYUpdSrv.aye                   C:\Program Files\ESTsoft\ALYac\AYUpdSrv.aye       

2372            AnySign4PCLauncher.exe         C:\Program Files (x86)\SoftForum\XecureWeb\AnySign\dll\AnySign4PCLauncher.exe

3372            avgsvca.exe                    C:\Program Files (x86)\AVG\Framework\Common\avgsvca.exe

3524            avgwdsvcx.exe                  C:\Program Files (x86)\AVG\Av\avgwdsvcx.exe       

3588            BlueSoleilCS.exe               C:\Program Files (x86)\IVT Corporation\BlueSoleil\BlueSoleilCS.exe

3660            BsMobileCS.exe                 C:\Program Files (x86)\IVT Corporation\BlueSoleil\BsMobileCS.exe

3764            cPhoneSDKCS.exe                C:\Program Files (x86)\IVT Corporation\BlueSoleil\cPhoneSDKCS.exe

3828            GfExperienceService.exe        C:\Program Files\NVIDIA Corporation\GeForce Experience Service\GfExperienceService.exe

3912            GingerUpdateService.exe        C:\Program Files (x86)\Ginger\GingerUpdateService\GingerUpdateService.exe

3988            NaverAdminAPISvc.exe           C:\Program Files (x86)\Naver\NaverCommon\NaverAdminAPISvc.exe

4052            NaverAdminAPISvc.exe           C:\Program Files\Naver\NaverCommon\NaverAdminAPISvc.exe

4308            NvNetworkService.exe           C:\Program Files (x86)\NVIDIA Corporation\NetService\NvNetworkService.exe

4336            NvStreamService.exe            C:\Program Files\NVIDIA Corporation\NvStreamSrv\NvStreamService.exe

4420            svchost.exe                    C:\Windows\system32\svchost.exe                   

4460            TeamViewer_Service.exe         C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe

4548            vmnat.exe                      C:\Windows\SysWOW64\vmnat.exe                     

4588            ToolbarUpdater.exe             C:\Program Files (x86)\Common Files\AVG Secure Search\vToolbarUpdater\40.2.6\ToolbarUpdater.exe

